master_pdf_page	anchor	owned	kind	role	disposition	source_sha256	physical_page_available	visual_review	transcription_file	primary_image_xref	primary_image_pixels	source_page_rect_pt	provider_marks_in_reader	open_notes
79	AB01-PDF0079	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0079.json	574	[5140, 7426]	[0.0, 0.0, 616.7999877929688, 891.1199951171875]	False	"[""S01-U009""]"
80	AB01-PDF0080	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0080.json	581	[5140, 7386]	[0.0, 0.0, 616.7999877929688, 886.3200073242188]	False	"[""S01-U010""]"
81	AB01-PDF0081	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0081.json	588	[5140, 7426]	[0.0, 0.0, 616.7999877929688, 891.1199951171875]	False	[]
82	AB01-PDF0082	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0082.json	595	[5140, 7386]	[0.0, 0.0, 616.7999877929688, 886.3200073242188]	False	"[""S01-U011""]"
83	AB01-PDF0083	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0083.json	602	[5140, 7426]	[0.0, 0.0, 616.7999877929688, 891.1199951171875]	False	[]
84	AB01-PDF0084	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0084.json	609	[5140, 7388]	[0.0, 0.0, 616.7999877929688, 886.5599975585938]	False	"[""S01-U012""]"
85	AB01-PDF0085	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0085.json	617	[5140, 7426]	[0.0, 0.0, 616.7999877929688, 891.1199951171875]	False	[]
86	AB01-PDF0086	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0086.json	624	[5140, 7388]	[0.0, 0.0, 616.7999877929688, 886.5599975585938]	False	[]
87	AB01-PDF0087	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0087.json	631	[5012, 7422]	[0.0, 0.0, 601.4400024414062, 890.6400146484375]	False	[]
88	AB01-PDF0088	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0088.json	638	[5012, 7388]	[0.0, 0.0, 601.4400024414062, 886.5599975585938]	False	[]
89	AB01-PDF0089	True	text	NALLINO_APPARATUS	Source-replayed first-pass transcription included; open readings remain explicitly registered	544c16b6355c9b74e281aded657d657224bff738366d5260e1a610d31b0d6297	True	Direct first-pass visual inspection; not independent audit	transcription/pages/AB01-PDF0089.json	646	[5012, 7426]	[0.0, 0.0, 601.4400024414062, 891.1199951171875]	False	[]
